,time_interval,num_clients,num_requests,num_get_requests,num_4xx_5xx_codes,avg_req_size,num_requests_per_client,anomaly_scores,num_clients_deviation%,num_requests_deviation%,num_get_requests_deviation%,num_4xx_5xx_codes_deviation%,avg_req_size_deviation%,num_requests_per_client_deviation%
0,2024-08-11 19:00:00+05:30,4,4,4,0,5024.0,1.0,0.24,81.66,81.66,69.42,0.0,0.49,0.0
1,2024-08-11 20:00:00+05:30,25,25,12,1,4998.28,1.0,0.04,14.6,14.6,8.25,23.33,0.02,0.0
2,2024-08-11 21:00:00+05:30,23,23,10,0,4997.35,1.0,0.05,5.43,5.43,23.54,0.0,0.04,0.0
3,2024-08-11 22:00:00+05:30,23,23,12,2,4991.65,1.0,0.09,5.43,5.43,8.25,53.34,0.16,0.0
4,2024-08-11 23:00:00+05:30,21,21,9,4,5003.9,1.0,0.04,3.74,3.74,31.19,206.67,0.09,0.0
5,2024-08-12 00:00:00+05:30,20,20,10,1,4974.2,1.0,0.03,8.32,8.32,23.54,23.33,0.5,0.0
6,2024-08-12 01:00:00+05:30,21,21,11,0,4998.86,1.0,0.08,3.74,3.74,15.9,0.0,0.01,0.0
7,2024-08-12 02:00:00+05:30,24,24,13,1,5005.75,1.0,0.08,10.02,10.02,0.61,23.33,0.13,0.0
8,2024-08-12 03:00:00+05:30,22,22,15,3,4991.45,1.0,0.04,0.85,0.85,14.68,130.01,0.16,0.0
9,2024-08-12 04:00:00+05:30,24,24,13,0,5010.67,1.0,0.05,10.02,10.02,0.61,0.0,0.23,0.0
10,2024-08-12 05:00:00+05:30,20,20,12,0,4995.5,1.0,0.08,8.32,8.32,8.25,0.0,0.08,0.0
11,2024-08-12 06:00:00+05:30,23,23,8,3,4986.61,1.0,0.03,5.43,5.43,38.84,130.01,0.26,0.0
12,2024-08-12 07:00:00+05:30,19,19,10,3,4986.42,1.0,0.01,12.9,12.9,23.54,130.01,0.26,0.0
13,2024-08-12 08:00:00+05:30,26,26,18,4,5003.58,1.0,0.08,19.18,19.18,37.62,206.67,0.08,0.0
14,2024-08-12 09:00:00+05:30,20,20,11,1,4988.0,1.0,0.07,8.32,8.32,15.9,23.33,0.23,0.0
15,2024-08-12 10:00:00+05:30,24,24,13,1,4987.83,1.0,0.06,10.02,10.02,0.61,23.33,0.23,0.0
16,2024-08-12 11:00:00+05:30,24,24,8,0,4983.88,1.0,0.05,10.02,10.02,38.84,0.0,0.31,0.0
17,2024-08-12 12:00:00+05:30,24,24,16,2,5010.62,1.0,0.06,10.02,10.02,22.33,53.34,0.22,0.0
18,2024-08-12 13:00:00+05:30,24,24,15,2,5008.38,1.0,0.07,10.02,10.02,14.68,53.34,0.18,0.0
19,2024-08-12 14:00:00+05:30,22,22,16,2,5007.09,1.0,0.07,0.85,0.85,22.33,53.34,0.15,0.0
20,2024-08-12 15:00:00+05:30,21,21,15,0,4986.95,1.0,0.06,3.74,3.74,14.68,0.0,0.25,0.0
21,2024-08-12 16:00:00+05:30,21,21,17,4,5008.1,1.0,0.04,3.74,3.74,29.97,206.67,0.17,0.0
22,2024-08-12 17:00:00+05:30,21,21,13,1,4996.0,1.0,0.11,3.74,3.74,0.61,23.33,0.07,0.0
23,2024-08-12 18:00:00+05:30,22,22,18,0,5006.14,1.0,0.01,0.85,0.85,37.62,0.0,0.13,0.0
24,2024-08-12 19:00:00+05:30,20,20,9,2,4975.75,1.0,0.04,8.32,8.32,31.19,53.34,0.47,0.0
25,2024-08-12 20:00:00+05:30,25,25,16,2,5000.96,1.0,0.06,14.6,14.6,22.33,53.34,0.03,0.0
26,2024-08-12 21:00:00+05:30,24,24,15,3,5001.46,1.0,0.05,10.02,10.02,14.68,130.01,0.04,0.0
27,2024-08-12 22:00:00+05:30,21,21,12,4,5002.0,1.0,0.01,3.74,3.74,8.25,206.67,0.05,0.0
28,2024-08-12 23:00:00+05:30,21,21,14,0,5009.0,1.0,0.07,3.74,3.74,7.04,0.0,0.19,0.0
29,2024-08-13 00:00:00+05:30,22,22,9,0,4991.95,1.0,0.03,0.85,0.85,31.19,0.0,0.15,0.0
30,2024-08-13 01:00:00+05:30,17,17,11,3,4977.65,1.0,0.14,22.07,22.07,15.9,130.01,0.44,0.0
31,2024-08-13 02:00:00+05:30,18,18,11,1,5000.22,1.0,0.02,17.49,17.49,15.9,23.33,0.02,0.0
32,2024-08-13 03:00:00+05:30,22,22,13,1,5004.64,1.0,0.11,0.85,0.85,0.61,23.33,0.1,0.0
33,2024-08-13 04:00:00+05:30,23,23,16,0,4996.52,1.0,0.07,5.43,5.43,22.33,0.0,0.06,0.0
34,2024-08-13 05:00:00+05:30,18,18,10,0,4990.56,1.0,0.02,17.49,17.49,23.54,0.0,0.18,0.0
35,2024-08-13 06:00:00+05:30,25,25,13,3,5004.04,1.0,0.02,14.6,14.6,0.61,130.01,0.09,0.0
36,2024-08-13 07:00:00+05:30,21,21,11,1,5003.57,1.0,0.1,3.74,3.74,15.9,23.33,0.08,0.0
37,2024-08-13 08:00:00+05:30,20,20,15,1,5000.8,1.0,0.08,8.32,8.32,14.68,23.33,0.03,0.0
38,2024-08-13 09:00:00+05:30,20,20,14,0,5000.5,1.0,0.08,8.32,8.32,7.04,0.0,0.02,0.0
39,2024-08-13 10:00:00+05:30,26,26,20,3,5002.88,1.0,0.07,19.18,19.18,52.91,130.01,0.07,0.0
